,video_id,category_1,category_2,rank,task_id
1043684,-2vbgoZc-RI,Food and Entertaining,Recipes,101,34888
979332,-36XId0ajh4,Food and Entertaining,Recipes,125,44287
1082502,-3q1QUUKZ0c,Sports and Fitness,Outdoor Recreation,162,110269
96804,-4F35P_X0TE,Home and Garden,Landscaping and Outdoor Building,126,68907
9020,-4Qxe2tPHaU,Home and Garden,Housekeeping,177,101960
787243,-6i2-TxVKYg,Cars & Other Vehicles,Off Road Vehicles,9,13161
1176854,-8ix0P8ZDkE,Food and Entertaining,Recipes,35,57808
1229823,-9A45l7hy54,Food and Entertaining,Barbecue,31,113800
191106,-aIzjzDVJUc,Home and Garden,Home Improvements and Repairs,18,45210
445799,-bdUhuL9OdQ,Food and Entertaining,Recipes,167,93379
1155409,-byLpcUf05U,Food and Entertaining,Recipes,9,99257
88066,-C2dLxHpr_A,Home and Garden,Home Improvements and Repairs,131,114099
23863,-CljoMcYFyo,Hobbies and Crafts,Crafts,11,49560
782765,-d9Ndn1-g7w,Food and Entertaining,Food Preparation,70,91232
1075850,-EwmVxfVAq0,Food and Entertaining,Holiday Cooking,30,91346
33393,-GWrphzX19Y,Hobbies and Crafts,Crafts,87,60436
647396,-IJS2AnaeEA,Food and Entertaining,Drinks,15,72996
860337,-je3zsYpQ2g,Home and Garden,Moving House and Packing,54,66866
791369,-jGXBt8zAZA,Pets and Animals,Dogs,137,62406
311949,-jspfQMyHqs,Holidays and Traditions,Halloween,160,5649
487093,-KsCfrocpMA,Home and Garden,Gardening,13,24216
654487,-LAEWid4cjc,Hobbies and Crafts,Woodworking,90,57698
200869,-MiZb4F8mis,Hobbies and Crafts,Crafts,181,82692
248991,-mXdJeKvzdM,Food and Entertaining,Recipes,78,70606
138465,-nbU1TXT3Bg,Education and Communications,Subjects,117,308
460705,-NZhHHWUr_0,Food and Entertaining,Care and Use of Cooking Equipment,93,19809
38131,-OB8zLKdp_Y,Hobbies and Crafts,Crafts,160,94264
331025,-rsFqEiuXL8,Cars & Other Vehicles,Cars,170,11164
159586,-SX6IvgS4xY,Holidays and Traditions,Thanksgiving,7,70593
752244,-tOTebN2kMw,Food and Entertaining,Food Preparation,13,91211
767444,-TvfTt8rOq0,Hobbies and Crafts,Games,88,69754
751252,-uGq1f2Uw1Y,Home and Garden,Housekeeping,101,18147
