video_id,category_1,category_2,rank,task_id
ORBaZN6nWWY,Education and Communications,Speaking,13,74
XyLHJ1Wajh8,Food and Entertaining,Recipes,59,111937
6N91pcQJVIU,Home and Garden,Home Improvements and Repairs,107,54712
e4BpfwOgh5c,Food and Entertaining,Drinks,65,25720
c8Hkst76-MA,Food and Entertaining,Recipes,108,68285
-OB8zLKdp_Y,Hobbies and Crafts,Crafts,160,94264
ivcr1NZtOmk,Pets and Animals,Horses,22,106717
gsyLTqm8uVQ,Hobbies and Crafts,Crafts,26,111337
Tkne9wlu_3k,Food and Entertaining,Drinks,48,22292
pvOicPtmoI4,Cars & Other Vehicles,Boats,23,47223
K6iUhAJkIr0,Hobbies and Crafts,Crafts,31,24936
pPTBBWPCT9g,Hobbies and Crafts,Crafts,152,58285
nL6gUXzBIGs,Hobbies and Crafts,Crafts,58,115971
TM0j_vOS4F8,Food and Entertaining,Recipes,137,101082
gwdW8TL9QtQ,Hobbies and Crafts,Toys,186,74903
ycjEuMk69g0,Hobbies and Crafts,Games,168,56073
H6aj4kKGFG0,Food and Entertaining,Cooking for Children,30,76588
YpPVLHu4i3U,Sports and Fitness,Individual Sports,120,122763
Xnrm6RwkcHI,Food and Entertaining,Drinks,69,32723
LLqs_yhv8vE,Food and Entertaining,Recipes,159,15468
kKRh1p2XX3k,Food and Entertaining,Drinks,2,16203
nBTpU_Q9h2g,Food and Entertaining,Recipes,12,122808
nrtb0AFs47Y,Food and Entertaining,Recipes,64,11505
G9P2A8opy34,Food and Entertaining,Drinks,152,47877
9QXtCH6A8_4,Education and Communications,Subjects,139,352
szj7Rpr5fKw,Food and Entertaining,Recipes,132,11506
B5ATEPy3gPQ,Holidays and Traditions,Halloween,6,38122
Vlw9Dx9y8Bc,Food and Entertaining,Recipes,79,31429
fSq6lCG7HYE,Food and Entertaining,Food Preparation,96,41765
37yz2sMjHlE,Home and Garden,Gardening,111,56873
3_8tU6Czwug,Food and Entertaining,Holiday Cooking,109,116834
wJZ8X0OzX2o,Food and Entertaining,Barbecue,62,113765
4ztxMRpfPKA,Food and Entertaining,Recipes,21,102535
KHHlsBtT_EE,Food and Entertaining,Recipes,36,8440
nAkYiCM5stg,,,62,67996
8_9iJUWiVdA,Home and Garden,Home Improvements and Repairs,26,48165
2MiZCqeBqE0,Food and Entertaining,Drinks,47,25921
